(1373)Cincinnati
0.001186 10000 100 100
3.40457 0.321838 0.680732 1.70515 5.18761 
3.40455 0.32187 0.680725 1.70511 5.1876 
3.40452 0.321904 0.680717 1.70508 5.18759 
3.40447 0.321939 0.680709 1.70504 5.18758 
3.40442 0.321977 0.680699 1.70502 5.18756 
3.40435 0.322016 0.680689 1.705 5.18754 
3.40429 0.322056 0.680678 1.70499 5.18752 
3.40421 0.322098 0.680668 1.70499 5.18749 
3.40414 0.32214 0.680658 1.705 5.18745 
3.40406 0.322182 0.680649 1.70503 5.18741 
3.40398 0.322224 0.680642 1.70507 5.18737 
3.4039 0.322265 0.680635 1.70512 5.18732 
3.40382 0.322305 0.680631 1.70519 5.18727 
3.40374 0.322343 0.680629 1.70526 5.18721 
3.40366 0.322379 0.680628 1.70535 5.18716 
3.40358 0.322412 0.680631 1.70545 5.1871 
3.4035 0.322443 0.680635 1.70556 5.18704 
3.40342 0.32247 0.680642 1.70567 5.18698 
3.40335 0.322495 0.680652 1.70579 5.18692 
3.40327 0.322516 0.680664 1.70592 5.18686 
3.40319 0.322534 0.680679 1.70605 5.1868 
3.40312 0.322549 0.680695 1.70618 5.18675 
3.40304 0.32256 0.680714 1.70631 5.1867 
3.40296 0.322568 0.680734 1.70644 5.18665 
3.40288 0.322573 0.680755 1.70657 5.18661 
3.4028 0.322575 0.680777 1.70669 5.18657 
3.40271 0.322575 0.6808 1.70682 5.18653 
3.40262 0.322571 0.680823 1.70694 5.1865 
3.40252 0.322565 0.680846 1.70706 5.18648 
3.40241 0.322557 0.680868 1.70717 5.18646 
3.40229 0.322546 0.680889 1.70729 5.18644 
3.40216 0.322532 0.680909 1.7074 5.18643 
3.40202 0.322517 0.680926 1.70751 5.18643 
3.40186 0.322498 0.680942 1.70762 5.18642 
3.40169 0.322477 0.680956 1.70773 5.18643 
3.40151 0.322453 0.680967 1.70784 5.18643 
3.40131 0.322425 0.680976 1.70795 5.18643 
3.40111 0.322395 0.680982 1.70806 5.18644 
