Jupiter
0.001186 10000 100 100
5.2029 0.0483948 0.0228 4.78947 1.7523 
5.20289 0.0483858 0.0228 4.79082 1.7523 
5.20289 0.0483724 0.0228 4.79216 1.7523 
5.20288 0.0483546 0.0228 4.79347 1.7523 
5.20287 0.0483327 0.0228 4.79475 1.7523 
5.20285 0.0483067 0.0228 4.796 1.7523 
5.20284 0.0482767 0.0228 4.79721 1.7523 
5.20282 0.0482431 0.0228 4.79836 1.7523 
5.2028 0.0482058 0.0228 4.79947 1.7523 
5.20278 0.0481653 0.0228 4.80052 1.7523 
5.20276 0.0481217 0.0228 4.8015 1.7523 
5.20274 0.0480752 0.0228 4.80242 1.7523 
5.20271 0.0480261 0.0228 4.80327 1.7523 
5.20269 0.0479747 0.0228 4.80405 1.7523 
5.20266 0.0479212 0.0228 4.80476 1.7523 
5.20263 0.0478659 0.0228 4.80539 1.7523 
5.2026 0.0478091 0.0228 4.80593 1.7523 
5.20257 0.047751 0.0228 4.8064 1.7523 
5.20255 0.0476919 0.0228 4.80679 1.7523 
5.20252 0.0476322 0.0228 4.8071 1.7523 
5.20249 0.0475719 0.0228 4.80732 1.7523 
5.20246 0.0475115 0.0228 4.80746 1.7523 
5.20243 0.0474512 0.0228 4.80752 1.7523 
5.2024 0.0473911 0.0228 4.8075 1.7523 
5.20237 0.0473316 0.0228 4.80741 1.7523 
5.20234 0.0472728 0.0228 4.80723 1.7523 
5.20231 0.047215 0.0228 4.80698 1.7523 
5.20228 0.0471584 0.0228 4.80665 1.7523 
5.20225 0.0471031 0.0228 4.80626 1.7523 
5.20223 0.0470494 0.0228 4.80579 1.7523 
5.2022 0.0469973 0.0228 4.80526 1.7523 
5.20218 0.0469472 0.0228 4.80466 1.7523 
5.20215 0.0468991 0.0228 4.804 1.7523 
5.20213 0.0468532 0.0228 4.80329 1.7523 
5.20211 0.0468095 0.0228 4.80252 1.7523 
5.20209 0.0467683 0.0228 4.8017 1.7523 
5.20207 0.0467296 0.0228 4.80083 1.7523 
5.20205 0.0466936 0.0228 4.79991 1.7523 
